Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Image Src,Image Position,Image Alt Text
"classic-pet-accessory-78","Classic Pet Accessory 78","Simple classic pet accessory 78 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-078","200","shopify","25","deny","manual","104.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-78-78/600/600","1","Classic Pet Accessory 78 image"
"essential-baby-holder-79","Essential Baby Holder 79","Simple essential baby holder 79 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-079","200","shopify","25","deny","manual","107.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-79-79/600/600","1","Essential Baby Holder 79 image"
"everyday-electronics-bottle-80","Everyday Electronics Bottle 80","Simple everyday electronics bottle 80 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-080","200","shopify","25","deny","manual","9.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-80-80/600/600","1","Everyday Electronics Bottle 80 image"
"compact-home-kit-81","Compact Home Kit 81","Simple compact home kit 81 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-081","200","shopify","25","deny","manual","12.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-81-81/600/600","1","Compact Home Kit 81 image"
"pro-kitchen-tool-82","Pro Kitchen Tool 82","Simple pro kitchen tool 82 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-082","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-82-82/600/600","1","Pro Kitchen Tool 82 image"
"ultra-fitness-accessory-83","Ultra Fitness Accessory 83","Simple ultra fitness accessory 83 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-083","200","shopify","25","deny","manual","17.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-83-83/600/600","1","Ultra Fitness Accessory 83 image"
"smart-apparel-holder-84","Smart Apparel Holder 84","Simple smart apparel holder 84 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-084","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-84-84/600/600","1","Smart Apparel Holder 84 image"
"eco-beauty-bottle-85","Eco Beauty Bottle 85","Simple eco beauty bottle 85 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-085","200","shopify","25","deny","manual","22.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-85-85/600/600","1","Eco Beauty Bottle 85 image"
"deluxe-outdoor-kit-86","Deluxe Outdoor Kit 86","Simple deluxe outdoor kit 86 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-086","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-86-86/600/600","1","Deluxe Outdoor Kit 86 image"
"premium-office-tool-87","Premium Office Tool 87","Simple premium office tool 87 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-087","200","shopify","25","deny","manual","27.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-87-87/600/600","1","Premium Office Tool 87 image"
"classic-pet-accessory-88","Classic Pet Accessory 88","Simple classic pet accessory 88 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-088","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-88-88/600/600","1","Classic Pet Accessory 88 image"
"essential-baby-holder-89","Essential Baby Holder 89","Simple essential baby holder 89 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-089","200","shopify","25","deny","manual","32.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-89-89/600/600","1","Essential Baby Holder 89 image"
"everyday-electronics-bottle-90","Everyday Electronics Bottle 90","Simple everyday electronics bottle 90 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-090","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-90-90/600/600","1","Everyday Electronics Bottle 90 image"
"compact-home-kit-91","Compact Home Kit 91","Simple compact home kit 91 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-091","200","shopify","25","deny","manual","37.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-91-91/600/600","1","Compact Home Kit 91 image"
"pro-kitchen-tool-92","Pro Kitchen Tool 92","Simple pro kitchen tool 92 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-092","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-92-92/600/600","1","Pro Kitchen Tool 92 image"
"ultra-fitness-accessory-93","Ultra Fitness Accessory 93","Simple ultra fitness accessory 93 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-093","200","shopify","25","deny","manual","42.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-93-93/600/600","1","Ultra Fitness Accessory 93 image"
"smart-apparel-holder-94","Smart Apparel Holder 94","Simple smart apparel holder 94 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-094","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-94-94/600/600","1","Smart Apparel Holder 94 image"
"eco-beauty-bottle-95","Eco Beauty Bottle 95","Simple eco beauty bottle 95 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-095","200","shopify","25","deny","manual","47.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-95-95/600/600","1","Eco Beauty Bottle 95 image"
"deluxe-outdoor-kit-96","Deluxe Outdoor Kit 96","Simple deluxe outdoor kit 96 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-096","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-96-96/600/600","1","Deluxe Outdoor Kit 96 image"
"premium-office-tool-97","Premium Office Tool 97","Simple premium office tool 97 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-097","200","shopify","25","deny","manual","52.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-97-97/600/600","1","Premium Office Tool 97 image"
"classic-pet-accessory-98","Classic Pet Accessory 98","Simple classic pet accessory 98 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-098","200","shopify","25","deny","manual","54.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-98-98/600/600","1","Classic Pet Accessory 98 image"
"essential-baby-holder-99","Essential Baby Holder 99","Simple essential baby holder 99 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-099","200","shopify","25","deny","manual","57.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-99-99/600/600","1","Essential Baby Holder 99 image"
"everyday-electronics-bottle-100","Everyday Electronics Bottle 100","Simple everyday electronics bottle 100 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-100","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-100-100/600/600","1","Everyday Electronics Bottle 100 image"
